24  276
9 0 0 17 0
9 1 0 21 1
9 2 3 22 2
9 3 1 18 1
9 4 1 20 1
9 5 1 13 0
9 6 2 15 0
9 7 1 16 0
9 8 0 23 1
9 9 0 12 0
19 10 1 19 0
19 11 1 14 2
9 12 2 1 0
9 13 0 4 0
9 14 1 7 0
9 15 1 11 0
9 16 2 0 2
9 17 2 8 1
9 18 0 2 1
9 19 1 5 0
9 20 3 3 0
9 21 0 9 2
9 22 0 10 2
19 4 3 19 2
19 7 1 15 1
19 6 2 17 0
19 2 2 14 2
19 0 1 20 6
19 21 2 12 1
19 8 0 10 3
19 3 3 16 1
19 9 2 13 0
19 11 1 22 0
19 1 2 18 1
19 5 3 23 0
19 10 0 2 2
19 18 0 8 1
19 16 3 6 1
19 14 1 21 1
19 23 2 1 0
19 22 2 5 1
19 17 1 3 2
19 15 0 0 0
19 20 0 7 1
19 19 0 9 1
19 13 3 11 0
19 12 0 4 0
19 3 1 15 0
19 5 0 16 1
19 8 0 19 0
19 4 1 18 0
19 2 2 17 1
19 21 1 23 0
19 0 3 22 1
9 11 1 10 0
9 1 1 14 1
9 7 2 13 1
9 6 4 12 1
9 20 0 9 0
19 10 4 17 1
19 22 0 4 1
19 15 1 8 2
19 1 2 2 1
19 12 0 20 4
19 18 1 0 2
19 19 0 7 1
19 14 1 6 1
19 23 2 3 2
19 9 1 5 0
19 13 1 21 1
19 16 1 11 0
19 17 0 14 0
19 4 3 15 1
19 5 1 21 0
19 8 0 12 1
19 2 0 9 2
19 11 0 23 1
19 6 2 13 0
19 22 0 19 2
19 3 3 1 2
19 0 2 10 1
19 20 1 16 2
19 7 2 18 1
19 13 1 17 2
19 21 1 3 1
19 10 3 5 0
19 18 0 20 2
19 9 1 6 1
19 19 0 2 1
19 12 0 11 0
19 16 0 8 1
19 14 1 0 1
19 23 3 7 2
19 15 1 22 0
19 1 1 4 0
19 6 0 19 0
19 11 2 7 1
19 4 2 10 1
19 22 2 18 4
19 2 1 15 4
019 5 0 12 0
019 0 2 13 0
019 16 2 23 0
019 3 1 14 1
019 17 1 1 0
019 20 2 21 0
019 8 0 9 1
2019 10 3 20 3
2019 9 0 0 1
2019 19 1 11 2
2019 23 0 4 1
2019 21 1 6 3
2019 7 2 3 4
2019 13 1 8 0
2019 18 0 17 1
2019 12 2 2 0
2019 14 0 16 1
2019 15 0 5 1
2019 1 2 22 1
2019 22 3 13 2
2019 5 3 14 0
2019 11 2 21 0
2019 6 0 18 4
2019 20 2 1 1
2019 4 1 7 0
2019 2 1 8 3
